493513,AXP,BANK,0.2,12.32,5.63,1.76,14.14,1.94,25.32,11,-2,1
493514,KSS,RETAIL,0.34,11.12,5.14,0.48,4.28,1.99,16.8,17,-20,4
493515,BBY,RETAIL,0.35,10.47,3.32,0.29,2.78,1.35,25.31,10,8,4
493516,KSS,RETAIL,0.31,9.75,3.75,0.38,3.89,1.54,12.87,14,15,4
493517,GM,AUTO,0.23,16.35,1.55,0.27,1.73,1.29,6.29,16,20,4
493518,TSLA,AUTO,0.55,0,-0.33,10.47,-7.11,1.83,-23.27,17,-19,4
493519,NVDA,TECH,0.36,37.02,1.52,6.12,16.97,2.56,20.97,16,-2,4
493520,AAPL,TECH,0.2,15.98,2.14,3.33,20.74,1.39,35.09,9,10,1
493521,F,AUTO,0.25,5.23,2.03,0.28,5.65,7.01,30.94,6,-15,4
493522,MSFT,TECH,0.16,24.3,2.7,5.32,26.39,2.92,34.37,11,-1,3
493523,SC,BANK,0.28,4.81,3.84,0.91,18.73,0.83,20.13,13,-5,4
493525,UBS,BANK,0.19,43.55,0.37,1.81,0.06,1.04,0.04,12,3,4
493526,AXP,BANK,0.19,15.99,5.06,2.5,15.63,2.15,28.18,18,-10,3
493527,PEP,FMCG,0.12,29.62,3.39,2.25,7.62,1.28,40.76,13,-2,3
493528,COST,RETAIL,0.15,25.33,5.12,0.5,1.96,0.99,19.05,5,-13,4
493529,AAPL,TECH,0.18,15.63,2.2,3.28,20.87,1.39,35.4,1,-12,4
493530,PEP,FMCG,0.14,29.62,3.39,2.25,7.62,1.28,40.76,1,20,2
493531,TSLA,AUTO,0.35,0,-1.71,5.08,-13.07,1.09,-24.11,5,13,4
493532,JPM,BANK,0.25,10.12,5.8,2.1,20.86,1.04,8.66,4,1,1
493533,TGT,RETAIL,0.16,13.88,3.73,0.46,3.27,0.9,14.78,0,13,4
493534,AXP,BANK,0.21,12.5,5.69,2.08,16.58,2.08,27.64,8,-17,1
493535,TSLA,AUTO,0.69,0,-0.22,12.16,-6.52,2.23,-19.48,0,-9,4
493536,AAPL,TECH,0.28,11.29,2.25,2.53,22.27,1.28,40.24,15,0,1
493537,COST,RETAIL,0.19,26.89,5.34,0.55,2.03,1.03,21.88,11,-16,4
493538,F,AUTO,0.22,7.01,1.59,0.31,7.7,6.09,48.9,1,4,1
493539,TSLA,AUTO,0.64,0,-0.26,13.48,-8.69,1.04,-39.81,10,-10,4
493540,FB,TECH,0.32,70.43,1.62,16.56,24.75,13.16,11.36,4,-13,4
493541,AAPL,TECH,0.27,10.35,2.36,2.38,22.87,1,42.79,6,14,1
493542,JPM,BANK,0.17,15.42,6.3,3.04,19.7,1.02,8.78,9,-13,3
493543,HOG,AUTO,0.23,15.58,2.98,1.43,9.23,1.23,26.93,15,8,1
493544,HOG,AUTO,0.21,17.53,3.27,2.18,12.44,1.59,25.82,8,6,1
493545,FB,TECH,0.26,90.64,0.99,15.78,17.64,10.68,7.28,0,11,4
493546,GOOG,TECH,0.25,26.82,25.81,6.32,22,5.43,14.74,4,-7,1
493547,NVDA,TECH,0.44,42.34,2.55,9.95,24.11,4.77,33.72,2,6,4
493548,JPM,BANK,0.19,9.52,4.41,1.5,15.86,0.94,8.17,1,-9,4
493549,HOG,AUTO,0.23,15.58,2.98,1.43,9.23,1.23,26.93,5,20,1
493550,TSLA,AUTO,0.33,0,-0.95,4.95,-8.45,1.13,-17.47,17,14,4
493551,MSFT,TECH,0.25,13.96,2.63,3.55,25.42,2.5,25.67,12,12,1
